"","Survey","areacode","Item.group","FBS.share","NHS.share","NHS.share.original","NEW.FBS","FBS.kcal","NHS.kcal","NEW.FBS.kcal","Partial.FBS","Partial.NHS","Updated.partial.FBS ","FBS.is.updated","DIFFERENCE","Original.Protein","Protein.after.update","Original.Fat","Fat.after.update","Continent","Subregion","UN.population"
"1","Albania_2005",3,"Grand Total",1.00000162313046,1.00000162313046,0,1.00000162313046,2871,2924,2871,NA,NA,NA,FALSE,0,97.9,94.1353984109382,88.3,82.9888249274043,"Europe","Southern Europe",3196000
"2","Albania_2005",3,"Cereals",0.420850561185516,0.463079785411385,0.407643784013711,0.421511197343416,1208,1192,1210,0.474263010409442,0.521851776721644,0.475007491519669,TRUE,-0.000660636157900074,37.5,37.5588661586941,6.4,6.4100464910838,"Europe","Southern Europe",3196000
"3","Albania_2005",3,"Starchy Roots",0.020920514625426,0.0243980214191648,0.0214772963257735,0.0224042517373843,60,63,64,0.0235756516936083,0.0274945079167579,0.0252476980071294,TRUE,-0.00148373711195825,1.4,1.49929162804709,0.1,0.107092259146221,"Europe","Southern Europe",3196000
"4","Albania_2005",3,"Sugar Products",0.0669457721934164,0.0885131610684261,0.0779171128813027,0.0885130941076997,192,228,254,0.0754422267257918,0.0997468510221685,0.0997467755630896,TRUE,-0.0215673219142833,0,0,0,0,"Europe","Southern Europe",3196000
"5","Albania_2005",3,"Pulses",0.0156903772612881,0.0411762492896533,0.0362469764406034,0.01920941489537,45,106,55,0.0176817289572726,0.0464021525609237,0.0216473869271289,TRUE,-0.00351903763408196,2.9,3.55041196708612,0.2,0.244855997730077,"Europe","Southern Europe",3196000
"6","Albania_2005",3,"Oilcrops & Treenuts",0.0160390716621644,0.0160390716621644,0.0126278402179344,0.0160390716621644,46,37,46,NA,NA,NA,FALSE,0,0.8,0.8,3.8,3.8,"Europe","Southern Europe",3196000
"7","Albania_2005",3,"Vegetables",0.0397489325078459,0.0741034337823802,0.0652323964619257,0.0456986229171734,114,191,131,0.0447936871906007,0.0835083063411108,0.0514984853892374,TRUE,-0.00594969040932758,4.4,5.05859976983971,0.9,1.03471358928539,"Europe","Southern Europe",3196000
"8","Albania_2005",3,"Fruits",0.0526500332111302,0.0335376758154693,0.0295228284782454,0.0506907308932748,151,86,146,0.0593321372283039,0.0377941258996421,0.0571241691244936,TRUE,0.00195930231785536,1.8,1.73301534762576,0.8,0.770229043389227,"Europe","Southern Europe",3196000
"9","Albania_2005",3,"Stimulants",0.00313807545225761,0.00313807545225761,0.00337886803820647,0.00313807545225761,9,10,9,NA,NA,NA,FALSE,0,0.3,0.3,0.7,0.7,"Europe","Southern Europe",3196000
"10","Albania_2005",3,"Spices",0.000348673502200808,0.000348673502200808,0.000238424961209684,0.000348673502200808,1,1,1,NA,NA,NA,FALSE,0,0,0,0,0,"Europe","Southern Europe",3196000
"11","Albania_2005",3,"Alcoholic Bev.",0.013947009750284,0.013947009750284,5.53030517424025e-06,0.013947009750284,40,0,40,NA,NA,NA,FALSE,0,0.2,0.2,0,0,"Europe","Southern Europe",3196000
"12","Albania_2005",3,"Meat & Offals",0.0774059075971889,0.0650087672920293,0.0572264666432103,0.0774057470684142,222,167,222,0.0872299151915243,0.0732593859256706,0.0872297342891638,TRUE,1.6052877468975e-07,16.6,16.5999655739757,16.8,16.7999651592043,"Europe","Southern Europe",3196000
"13","Albania_2005",3,"Eggs",0.00801951841551927,0.004430523973301,0.00390013905710745,0.00612816565892817,23,11,18,0.00903731941110936,0.00499282603152497,0.00690592471946326,TRUE,0.0018913527565911,1.8,1.37548137114122,1.6,1.22265010768108,"Europe","Southern Europe",3196000
"14","Albania_2005",3,"Fish Products",0.00348673502200808,0.0021481297746576,0.00189097381807765,0.00332806817885602,10,6,10,0.00392925565640068,0.00242076068714134,0.00375045153535238,TRUE,0.000158666843152062,1.4,1.33629180909625,0.5,0.477247074677232,"Europe","Southern Europe",3196000
